page_id,page_title,card_id,card_title,card_datasets,source_dataset,physical_overlap_pct,source_physical_count,overlap_physical_count,missing_formula_count,missing_physical_count,feasibility,missing_formulas,missing_physicals,non_overlapping_physical_cols
1134665337,プロテック案件実績,620429819,週次_コーナン新規案件数（コラボス）,コラボス＋リペイント,Store Example Data,0.0%,5,0,0,5,VERY LOW - Almost no overlap,,date_ymd | department | revenue | sales_rep | state,date_ymd | department | revenue | sales_rep | state
1134665337,プロテック案件実績,620429819,週次_コーナン新規案件数（コラボス）,コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
1134665337,プロテック案件実績,620429819,週次_コーナン新規案件数（コラボス）,コラボス＋リペイント,積算チーム遵守率,12.5%,8,1,3,6,VERY LOW - Almost no overlap,対応件数 | 対象件数 | 遵守率,判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名,元請名 | 判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名
1134665337,プロテック案件実績,2133931667,週次_新規案件数（コラボス）,コラボス＋リペイント,Store Example Data,0.0%,5,0,0,5,VERY LOW - Almost no overlap,,date_ymd | department | revenue | sales_rep | state,date_ymd | department | revenue | sales_rep | state
1134665337,プロテック案件実績,2133931667,週次_新規案件数（コラボス）,コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
1134665337,プロテック案件実績,2133931667,週次_新規案件数（コラボス）,コラボス＋リペイント,積算チーム遵守率,12.5%,8,1,3,6,VERY LOW - Almost no overlap,対応件数 | 対象件数 | 遵守率,判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名,元請名 | 判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名
1134665337,プロテック案件実績,2060477552,週次_アイリスプラザ新規案件数（コラボス）,コラボス＋リペイント,Store Example Data,0.0%,5,0,0,5,VERY LOW - Almost no overlap,,date_ymd | department | revenue | sales_rep | state,date_ymd | department | revenue | sales_rep | state
1134665337,プロテック案件実績,2060477552,週次_アイリスプラザ新規案件数（コラボス）,コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
1134665337,プロテック案件実績,2060477552,週次_アイリスプラザ新規案件数（コラボス）,コラボス＋リペイント,積算チーム遵守率,12.5%,8,1,3,6,VERY LOW - Almost no overlap,対応件数 | 対象件数 | 遵守率,判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名,元請名 | 判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名
1134665337,プロテック案件実績,1517610841,コラボス_元請け別新規案件数,コラボス＋リペイント,Store Example Data,0.0%,5,0,0,5,VERY LOW - Almost no overlap,,date_ymd | department | revenue | sales_rep | state,date_ymd | department | revenue | sales_rep | state
1134665337,プロテック案件実績,1517610841,コラボス_元請け別新規案件数,コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
1134665337,プロテック案件実績,1517610841,コラボス_元請け別新規案件数,コラボス＋リペイント,積算チーム遵守率,12.5%,8,1,3,6,VERY LOW - Almost no overlap,対応件数 | 対象件数 | 遵守率,判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名,元請名 | 判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問月 | 顧客名
1134665337,プロテック案件実績,131473852,コラボス_元請会社別新規案件数（昨対比）.,コラボス＋リペイント（昨対集計用）,Store Example Data,0.0%,5,0,0,5,VERY LOW - Almost no overlap,,date_ymd | department | revenue | sales_rep | state,date_ymd | department | revenue | sales_rep | state
1134665337,プロテック案件実績,131473852,コラボス_元請会社別新規案件数（昨対比）.,コラボス＋リペイント（昨対集計用）,コラボス＋リペイント,3.4%,118,4,130,114,VERY LOW - Almost no overlap,コラボスデータ | スポットチェンジ判断 | プロテック販促品 | ポイント値引き | ユニット | ユニット(並び替え用) | ユニット表示 | 事業所 | 事業所表示順 | 元請け表示順 | 元請会社(すぽっとチェンジ) | 元請会社(表示修正) | 元請会社（DCMまとめ） | 元請名 | 元請名ソート | 全体_予算達成率 | 利益率 | 勘定科目 | 商談予定件数 | 営業担当（文字化け修正） | 売上日 | 売上月 | 契約件数 | 契約件数(結果確定日基準) | 契約件数達成率 | 契約件数達成率_個人 | 契約件数（60万以上） | 契約年 | 契約月 | 契約率 | 契約金額平均(直近1年分) | 契約金額平均(直近3ヶ月) | 契約金額達成率 | 契約金額達成率_個人 | 契約金額（契約・60万以上） | 契約金額（契約） | 完工件数 | 完工件数（60万以上） | 完工年 | 完工月 | 完工棟数予算（注力） | 完工棟数達成率 | 完工棟数達成率_個人 | 完工棟数達成率（注力） | 完工済み/未完工 | 完工粗利予算_個人達成率 | 完工粗利予算（注力） | 工事完了年 | 工事完了月 | 工事粗利 | 工事粗利達成率 | 工事粗利達成率（注力） | 工事粗利（60万以上） | 平均単価(施工店請負金額) | 承り年 | 承り日(月) | 承り日週のラベル（土曜日スタート） | 承り日（年間） | 承り日（月集計） | 承り月 | 担当エリア | 支払い基準日（年表示） | 支払い日基準（月表示） | 支払基準年 | 支払基準月 | 施工店受注率 | 期（工事完了予定日） | 期（結果確定日） | 未確定案件数 | 未確定案件数(郵送) | 未確定率 | 案件発生数 | 案件発生数合計 | 案件発生数（60万以上） | 棟数 | 法人営業部_集計用大項目名 | 法人営業部_集計用大項目名表示順 | 法人営業部_集計用金額 | 法人営業部_集計用項目名 | 注力完工粗利予算 | 注力表示順 | 注文件数 | 無償提供 | 特別値引き | 現場ポケット売上 | 現調予定案件数 | 粗利予算達成率 | 粗利額1 | 結果確定-完工日数 | 結果確定年 | 結果確定日(月表示空白除外) | 結果確定日（月表示） | 結果確定月 | 見積-現調日数 | 見積①提出数（60万以上） | 見積件数達成率_個人 | 見積回収・一次チェック必要案件（修正版） | 見積回収・一次チェック必要案件（修正版２） | 見積回収・一次チェック必要案件（修正版３） | 見積回収・一次チェック必要案件（修正版４） | 見積提出-結果確定日数 | 見積提出件数達成率 | 見積提出手段（商談（未確定）の文字が含まれるデータを対象） | 見積提出案件数 | 見積提出金額予算_個人達成率 | 見積提出金額達成率 | 見積提案年 | 見積提案日(年ごと) | 見積提案日（月表示） | 見積提案日（見積提案日がDOMOを開いている日の2日前以前の全データを対象） | 見積提案月 | 見積提案月(3ヶ月毎) | 見積数(見積提案日基準) | 見積書①平均見積金額 | 見積書①平均見積金額_3ヶ月 | 見積書①数 | 見積書①数_3ヶ月 | 見積書②平均見積金額 | 見積書②平均見積金額_3ヶ月 | 見積書③平均見積金額 | 見積書③平均見積金額_3ヶ月 | 見積確認日（②見積確認日が空欄（NULL または 空文字）・③訪問日が「入力されている日から7日以上経過」 | 見積結果(空欄のみ) | 訪問数 | 詳細カテゴリ | 詳細カテゴリ表示順 | 請求グループ | 郵送未確定率 | 郵送率3ヶ月毎順番 | 限定③訪問日が「入力されている日から7日以上経過」,AP/PT種別区分 | AP営業所名(受注時) | Budget_Type | Budget_date | Date | Days of month | Holyday_Amount_Zero | Month | SCチャネル | _BATCH_FILE_ID_ | _BATCH_FILE_NAME_ | _BATCH_ID_ | _BATCH_LAST_RUN_ | _BATCH_ROW_NUM_ | calendar_date | company_id | sales_office_id | sales_office_name | salesuser_id | year | お客様氏名 | その他 | その他の詳細 | キャンペーン | コーナン_加盟金あり | コーナン_加盟金なし | データ元 | フリガナ | プロテックセンター 受付日 | プロテック請負金額 | 予算種類 | 会社ID | 会社名 | 住所 | 元請け担当者 | 加盟チャネル名 | 勘定科目としての種別 | 単価 | 原価 | 受注ID | 受注詳細ID | 商品券(金額) | 商品名 | 商品種別 | 商材.原価率 | 売上.単価 | 売上.商品コード | 売上.数量 | 売上区分 | 売上額 | 契約件数予算_Per_Day | 契約件数予算（個人）_Per_Day | 契約内容 | 契約金額 | 契約金額予算_Per_Day | 契約金額予算（個人）_Per_Day | 完了確認書受領日 | 完工棟数予算_Per_Day | 完工棟数予算（個人）_Per_Day | 完工粗利予算_Per_Day | 完工粗利予算（個人）_Per_Day | 工事受注No | 工事完了予定日 | 工事完了日 | 工程表提出日 | 建物区分名 | 承りNo | 承り日 | 承り日（土曜〜週次集計用） | 担当センター | 担当店 | 携帯TEL | 支払い基準日 | 施工店協力費 | 施工店請負金額 | 案件数予算（元請）_Per_Day | 注力 | 無償提供フラグ | 物件種別 | 物件種別名 | 現場住所 | 直前の日曜日（承り日） | 着工予定日 | 着工日 | 粗利予算額 | 粗利額 | 結果確定日 | 自宅TEL | 見積担当者 | 見積提出件数予算_Per_Day | 見積提出件数予算（個人）_Per_Day | 見積提出手段 | 見積提出金額予算_Per_Day | 見積提出金額予算（個人）_Per_Day | 見積提案予定日 | 見積提案日 | 見積書① | 見積書② | 見積書③ | 見積確認日 | 見積結果 | 規格4ID | 親カテゴリ名 | 訪問予定日 | 訪問予定時刻 | 訪問日 | 連絡事項 | 連絡日 | 郵便番号 | 都道府県 | 顧客No | 顧客会社名 | 顧客会社県コード | 顧客会社都道府県,AP/PT種別区分 | AP営業所名(受注時) | Budget_Type | Budget_date | Date | Days of month | Holyday_Amount_Zero | Month | SCチャネル | _BATCH_FILE_ID_ | _BATCH_FILE_NAME_ | _BATCH_ID_ | _BATCH_LAST_RUN_ | _BATCH_ROW_NUM_ | calendar_date | company_id | sales_office_id | sales_office_name | salesuser_id | year | お客様氏名 | その他 | その他の詳細 | キャンペーン | コーナン_加盟金あり | コーナン_加盟金なし | データ元 | フリガナ | プロテックセンター 受付日 | プロテック請負金額 | 予算種類 | 会社ID | 会社名 | 住所 | 元請け担当者 | 加盟チャネル名 | 勘定科目としての種別 | 単価 | 原価 | 受注ID | 受注詳細ID | 商品券(金額) | 商品名 | 商品種別 | 商材.原価率 | 売上.単価 | 売上.商品コード | 売上.数量 | 売上区分 | 売上額 | 契約件数予算_Per_Day | 契約件数予算（個人）_Per_Day | 契約内容 | 契約金額 | 契約金額予算_Per_Day | 契約金額予算（個人）_Per_Day | 完了確認書受領日 | 完工棟数予算_Per_Day | 完工棟数予算（個人）_Per_Day | 完工粗利予算_Per_Day | 完工粗利予算（個人）_Per_Day | 工事受注No | 工事完了予定日 | 工事完了日 | 工程表提出日 | 建物区分名 | 承りNo | 承り日 | 承り日（土曜〜週次集計用） | 担当センター | 担当店 | 携帯TEL | 支払い基準日 | 施工店協力費 | 施工店請負金額 | 案件数予算（元請）_Per_Day | 注力 | 無償提供フラグ | 物件種別 | 物件種別名 | 現場住所 | 直前の日曜日（承り日） | 着工予定日 | 着工日 | 粗利予算額 | 粗利額 | 結果確定日 | 自宅TEL | 見積担当者 | 見積提出件数予算_Per_Day | 見積提出件数予算（個人）_Per_Day | 見積提出手段 | 見積提出金額予算_Per_Day | 見積提出金額予算（個人）_Per_Day | 見積提案予定日 | 見積提案日 | 見積書① | 見積書② | 見積書③ | 見積確認日 | 見積結果 | 規格4ID | 親カテゴリ名 | 訪問予定日 | 訪問予定時刻 | 訪問日 | 連絡事項 | 連絡日 | 郵便番号 | 都道府県 | 顧客No | 顧客会社名 | 顧客会社県コード | 顧客会社都道府県
1134665337,プロテック案件実績,131473852,コラボス_元請会社別新規案件数（昨対比）.,コラボス＋リペイント（昨対集計用）,積算チーム遵守率,0.0%,8,0,3,8,VERY LOW - Almost no overlap,対応件数 | 対象件数 | 遵守率,元請名 | 判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問予定日 | 訪問月 | 顧客名,元請名 | 判定 | 営業日数 | 翌営業日 | 見積提出日 | 訪問予定日 | 訪問月 | 顧客名
